final_stage_simple,stage_time_window,HCPCS,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
IV,0_to_90,96413,155,32,65086.05790266054,40.00099293467644,419.9100509849067,543.76,2033.939309458142,4.84375,2881289.135772395,0.02258921435359966,8.0
IV,0_to_90,36561,27,13,62006.90063067706,27.00710280417323,2296.5518752102616,450.42,4769.761586975159,2.076923076923077,2881289.135772395,0.021520540879023827,9.0
IV,0_to_90,78815,47,25,54789.25639994251,44.36505411462068,1165.728859573245,571.41,2191.5702559977003,1.88,2881289.135772395,0.01901553569189265,10.0
IV,post_90,J9306,398,15,4884169.466163524,342.1520227816617,12271.782578300312,11451.26,325611.29774423497,26.533333333333335,24765033.969312504,0.19722038226217353,1.0
IV,post_90,J9355,496,18,4783421.941781443,174.27194403698687,9643.99585036581,9449.35,265745.66343230236,27.555555555555557,24765033.969312504,0.19315224633686356,2.0
IV,post_90,J0897,483,39,2022476.70688177,475.7031079560973,4187.322374496418,4128.43,51858.37709953256,12.384615384615385,24765033.969312504,0.08166662357047094,3.0
IV,post_90,J9354,149,5,1746296.8691862384,88.30899277356139,11720.113216015023,9078.45,349259.37383724767,29.8,24765033.969312504,0.07051461634779728,4.0
IV,post_90,J9358,63,5,1406322.895720576,63.50471143420487,22322.585646358348,24351.0437102919,281264.5791441152,12.6,24765033.969312504,0.05678663301908713,5.0
IV,post_90,J9264,222,9,1074389.9733850874,186.62927586286602,4839.594474707601,5724.20767444604,119376.66370945417,24.666666666666668,24765033.969312504,0.043383343415414395,6.0
IV,post_90,J9395,557,26,978485.349713875,509.1033399355745,1756.7061933821813,675.53,37634.051912072115,21.423076923076923,24765033.969312504,0.03951076146014422,7.0
IV,post_90,J9022,49,2,589188.68,43.0,12024.258775510205,6263.74,294594.34,24.5,24765033.969312504,0.0237911516992099,8.0
IV,post_90,J9317,38,4,524332.5830311831,27.65357969986848,13798.22586924166,11439.82,131083.14575779578,9.5,24765033.969312504,0.02117229411762196,9.0
IV,post_90,96413,1116,38,501008.00666828436,97.39342135126302,448.93190561674226,503.8,13184.421228112746,29.36842105263158,24765033.969312504,0.02023045909361992,10.0
