final_stage_simple,stage_time_window,PROC_DESC,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
IV,pre_stage,"INJECTION, PERTUZUMAB, 1 MG",169,9,1629512.44,132.0,9642.085443786982,9484.15,181056.93777777778,18.77777777777778,8443550.838750169,0.19298900085040568,2.0
IV,pre_stage,"INJECTION, FULVESTRANT",152,10,476206.98244268866,132.14919902388374,3132.940673965057,3001.52,47620.69824426887,15.2,8443550.838750169,0.05639890036040546,3.0
IV,pre_stage,"INJ, ADO-TRASTUZUMAB EMT 1MG",33,1,405379.05,23.0,12284.213636363636,10670.54,405379.05,33.0,8443550.838750169,0.04801049436921553,4.0
IV,pre_stage,"INJECTION, PEGFILGRASTIM 6MG",48,11,346181.58999999997,33.0,7212.116458333333,8576.474999999999,31471.053636363635,4.363636363636363,8443550.838750169,0.040999526930217724,5.0
IV,pre_stage,DENOSUMAB INJECTION,95,16,286097.8738544246,91.07318894661154,3011.5565668886798,2132.84,17881.117115901536,5.9375,8443550.838750169,0.0338835969982474,6.0
IV,pre_stage,PET IMAGE W/CT SKULL-THIGH,159,47,208157.6793449056,156.3839282077761,1309.1677946220477,1211.47,4428.88679457246,3.382978723404255,8443550.838750169,0.02465286030962271,7.0
IV,pre_stage,CHEMO IV INFUSION 1 HR,409,20,200752.1152248309,127.0,490.83646754237384,541.13,10037.605761241544,20.45,8443550.838750169,0.02377579279839412,8.0
IV,pre_stage,OFFICE/OUTPATIENT VISIT EST,1787,94,155947.31600461178,1768.138688253172,87.26766424432668,80.15,1659.0140000490615,19.01063829787234,8443550.838750169,0.018469399780116136,9.0
IV,pre_stage,PACLITAXEL PROTEIN BOUND,28,3,155459.33888737476,26.356354235314498,5552.11924597767,5806.547048925981,51819.77962912492,9.333333333333334,8443550.838750169,0.018411606900490478,10.0
IV,0_to_90,TRASTUZUMAB INJECTION,77,16,521771.73,45.0,6776.256233766234,6533.03,32610.733125,4.8125,2638380.750041134,0.19776210465144775,1.0
IV,0_to_90,"INJECTION, PERTUZUMAB, 1 MG",50,14,492180.59410469467,35.00661705180984,9843.611882093894,9798.474999999999,35155.75672176391,3.5714285714285716,2638380.750041134,0.18654646191495342,2.0
IV,0_to_90,DENOSUMAB INJECTION,49,24,203894.1104656664,48.12272413546822,4161.104295217681,4128.43,8495.587936069433,2.0416666666666665,2638380.750041134,0.07728001747378105,3.0
IV,0_to_90,"INJECTION, PEGFILGRASTIM 6MG",11,3,97566.28,9.0,8869.661818181818,8429.95,32522.093333333334,3.6666666666666665,2638380.750041134,0.03697960576708986,4.0
IV,0_to_90,"INJECTION, FULVESTRANT",36,13,88028.42065339872,34.04422058574571,2445.2339070388534,2092.9,6771.416973338362,2.769230769230769,2638380.750041134,0.03336456296234965,5.0
IV,0_to_90,"INJ, ATEZOLIZUMAB,10 MG",4,1,69099.63,4.0,17274.9075,17488.23,69099.63,4.0,2638380.750041134,0.026190166070201464,6.0
IV,0_to_90,CHEMO IV INFUSION 1 HR,155,32,65086.05790266054,40.00099293467644,419.9100509849067,543.76,2033.939309458142,4.84375,2638380.750041134,0.024668940561988942,7.0
IV,0_to_90,INSERT TUNNELED CV CATH,27,13,62006.90063067706,27.00710280417323,2296.5518752102616,450.42,4769.761586975159,2.076923076923077,2638380.750041134,0.023501877289587688,8.0
IV,0_to_90,RADIATION TREATMENT DELIVERY,162,14,57257.72,159.00011476794586,353.44271604938274,416.75,4089.837142857143,11.571428571428571,2638380.750041134,0.021701841176300016,9.0
IV,0_to_90,PET IMAGE W/CT SKULL-THIGH,47,25,54789.25639994251,44.36505411462068,1165.728859573245,571.41,2191.5702559977003,1.88,2638380.750041134,0.020766243234259615,10.0
IV,post_90,"INJECTION, PERTUZUMAB, 1 MG",398,15,4884169.466163524,342.1520227816617,12271.782578300312,11451.26,325611.29774423497,26.533333333333335,22439302.16109953,0.21766137962305504,1.0
IV,post_90,TRASTUZUMAB INJECTION,496,18,4783421.941781443,174.27194403698687,9643.99585036581,9449.35,265745.66343230236,27.555555555555557,22439302.16109953,0.2131715998759497,2.0
IV,post_90,DENOSUMAB INJECTION,483,39,2022476.70688177,475.7031079560973,4187.322374496418,4128.43,51858.37709953256,12.384615384615385,22439302.16109953,0.0901309983867461,3.0
IV,post_90,"INJ, ADO-TRASTUZUMAB EMT 1MG",149,5,1746296.8691862384,88.30899277356139,11720.113216015023,9078.45,349259.37383724767,29.8,22439302.16109953,0.07782313623877284,4.0
IV,post_90,PACLITAXEL PROTEIN BOUND,222,9,1074389.9733850874,186.62927586286602,4839.594474707601,5724.20767444604,119376.66370945417,24.666666666666668,22439302.16109953,0.04787983002642726,5.0
IV,post_90,"INJECTION, FULVESTRANT",557,26,978485.349713875,509.1033399355745,1756.7061933821813,675.53,37634.051912072115,21.423076923076923,22439302.16109953,0.04360587253066024,6.0
IV,post_90,"INJ, ATEZOLIZUMAB,10 MG",49,2,589188.68,43.0,12024.258775510205,6263.74,294594.34,24.5,22439302.16109953,0.026256996575473257,7.0
IV,post_90,CHEMO IV INFUSION 1 HR,1116,38,501008.00666828436,97.39342135126302,448.93190561674226,503.8,13184.421228112746,29.36842105263158,22439302.16109953,0.022327254344692814,8.0
IV,post_90,OFFICE/OUTPATIENT VISIT EST,3403,89,338328.6130511701,3356.8341971660325,99.42069146375847,94.0054974060221,3801.445090462585,38.235955056179776,22439302.16109953,0.015077501547160052,9.0
IV,post_90,GOSERELIN ACETATE IMPLANT,293,6,321857.5875637489,229.70533345176602,1098.4900599445355,1060.91,53642.93126062481,48.833333333333336,22439302.16109953,0.014343475802100335,10.0
