final_stage_simple,stage_time_window,provider_number,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
II,pre_stage,2278.0,1063,38,309443.7896358864,294.00154760566045,291.10422355210386,0.0,8143.25762199701,27.973684210526315,11545676.394135104,0.026801702998801833,5.0
II,pre_stage,2283.0,1458,40,288343.11471783277,387.0107569717715,197.7661966514628,0.0,7208.577867945819,36.45,11545676.394135104,0.024974120603648946,6.0
II,pre_stage,2015.0,251,5,186852.35628283783,71.10287932251109,744.4316983379994,83.41,37370.471256567565,50.2,11545676.394135104,0.016183751380538767,7.0
II,pre_stage,2228.0,1118,37,149114.15372703763,261.5247482594744,133.37580834260967,9.600000000000001,4030.112262892909,30.216216216216218,11545676.394135104,0.012915150973985694,8.0
II,pre_stage,2268.0,793,23,147759.48172050173,227.1555760089567,186.3297373524612,0.02,6424.325292195727,34.47826086956522,11545676.394135104,0.012797819432697734,9.0
II,pre_stage,6062.0,37,36,143132.5962257398,37.06235923661283,3868.4485466416163,3864.0,3975.9054507149945,1.0277777777777777,11545676.394135104,0.012397073271380388,10.0
II,0_to_90,2244.0,13777,214,7594933.844168529,2611.297589665923,551.2763188044225,0.0,35490.34506620808,64.3785046728972,11811180.319215853,0.6430292010538671,1.0
II,0_to_90,2236.0,4387,131,1479113.4601272864,1100.7757424073275,337.1582995503274,5.43638066286405,11290.942443719743,33.48854961832061,11811180.319215853,0.12522994486172445,2.0
II,0_to_90,2223.0,992,20,327266.22344375524,179.14838693603335,329.90546718120487,0.0,16363.311172187761,49.6,11811180.319215853,0.027708172646498257,3.0
II,0_to_90,2281.0,1775,65,299077.51938153844,374.43744572166855,168.4943771163597,0.0,4601.192605869822,27.307692307692307,11811180.319215853,0.02532156069914224,4.0
II,0_to_90,8094.0,984,34,168241.3288294287,210.12635484816133,170.97696019250884,0.0,4948.274377336138,28.941176470588236,11811180.319215853,0.014244243528795629,5.0
II,0_to_90,2228.0,743,24,160239.19694779912,213.74261471403946,215.66513721103516,11.34,6676.633206158297,30.958333333333332,11811180.319215853,0.013566738684626012,6.0
II,0_to_90,2015.0,201,3,144855.78899472675,68.53087130053748,720.6755671379441,47.4497355796328,48285.26299824225,67.0,11811180.319215853,0.012264294090833402,7.0
II,0_to_90,2278.0,419,20,119895.9379017085,90.00760506779336,286.14782315443557,0.0,5994.796895085425,20.95,11811180.319215853,0.010151054734694662,8.0
II,0_to_90,2266.0,369,9,115826.41274805635,113.00073035766415,313.89271747440745,8.63,12869.601416450705,41.0,11811180.319215853,0.009806506176153789,9.0
II,0_to_90,6062.0,29,29,113212.89646357877,29.09880127604057,3903.8929815027163,3864.0,3903.8929815027163,1.0,11811180.319215853,0.009585231399726443,10.0
II,post_90,2244.0,28105,274,15853159.60218303,7703.334043706905,564.0690127088785,0.0,57858.246723295735,102.57299270072993,32048030.03429931,0.49466877013083904,1.0
II,post_90,2236.0,12543,204,4616394.78799105,3783.235384144433,368.04550649693454,9.18,22629.3862156424,61.48529411764706,32048030.03429931,0.14404613272798256,2.0
II,post_90,2223.0,3317,30,1180337.393344021,889.5051241624869,355.8448578064579,0.0,39344.57977813403,110.56666666666666,32048030.03429931,0.03683026357878373,3.0
II,post_90,2283.0,3872,50,936023.172323614,1000.8478680978467,241.74152177779288,6.243589933312955,18720.46344647228,77.44,32048030.03429931,0.0292068863927623,4.0
II,post_90,2281.0,5429,89,892122.2473076158,1295.891931981543,164.3253356617454,5.11956520678286,10023.84547536647,61.0,32048030.03429931,0.027837038543486903,5.0
II,post_90,8094.0,4124,85,702033.4582064826,886.7527159648885,170.23119743125184,3.0353726065859803,8259.217155370383,48.51764705882353,32048030.03429931,0.021905666509146843,6.0
II,post_90,2246.0,1356,5,630822.9468373356,402.49057395476837,465.208662859392,15.10639850862655,126164.58936746712,271.2,32048030.03429931,0.019683673104468485,7.0
II,post_90,2278.0,1797,41,506833.03609509004,549.3073660746276,282.0439822454591,11.3260088686084,12361.781368172928,43.829268292682926,32048030.03429931,0.015814795341637333,8.0
II,post_90,2266.0,1833,20,253217.11546162862,612.0269409199022,138.1435436233653,9.8458349983374,12660.855773081432,91.65,32048030.03429931,0.007901175678836539,9.0
II,post_90,2254.0,263,12,230085.82025368893,86.39090628376943,874.8510275805663,145.39,19173.81835447408,21.916666666666668,32048030.03429931,0.00717940603548612,10.0
III,pre_stage,2244.0,5320,71,2586159.411924559,1169.8412665826982,486.1201902113833,0.0,36424.78044964168,74.92957746478874,6015645.124137474,0.42990558095718184,1.0
III,pre_stage,2015.0,517,3,776802.6030028845,106.29518936037894,1502.5195415916528,0.0,258934.2010009615,172.33333333333334,6015645.124137474,0.12913039033602616,2.0
III,pre_stage,2236.0,2136,61,588146.2058298559,570.4899908920936,275.34934729862164,9.18,9641.741079177966,35.01639344262295,6015645.124137474,0.097769431822025,3.0
III,pre_stage,2283.0,1106,26,266795.13790479733,268.09518780304774,241.22526031175167,0.0,10261.35145787682,42.53846153846154,6015645.124137474,0.044350212221511406,4.0
III,pre_stage,2281.0,686,19,128531.51354089829,153.0924702595255,187.36372236282548,0.0,6764.816502152542,36.10526315789474,6015645.124137474,0.02136620609902204,5.0
III,pre_stage,2254.0,102,10,125688.38469583982,59.23382031358073,1232.2390656454884,61.7769707785989,12568.838469583981,10.2,6015645.124137474,0.020893583664289218,6.0
III,pre_stage,2223.0,278,6,123955.45,112.0,445.88291366906475,43.955,20659.241666666665,46.333333333333336,6015645.124137474,0.020605512366850726,7.0
III,pre_stage,2278.0,385,19,81311.33072488569,108.10676128699728,211.1982616230797,2.23,4279.543722362405,20.263157894736842,6015645.124137474,0.013516643526498605,8.0
III,pre_stage,2228.0,698,16,80505.7189235578,158.00379338153346,115.33770619420888,4.01,5031.607432722362,43.625,6015645.124137474,0.013382724090643686,9.0
III,pre_stage,7839.0,101,1,61983.649999999994,31.0,613.699504950495,11.6,61983.649999999994,101.0,6015645.124137474,0.010303741115195395,10.0
III,0_to_90,2244.0,5944,83,3079322.912732427,1154.3751000502373,518.0556717248363,0.0,37100.276057017196,71.6144578313253,5560964.641189447,0.5537389844064508,1.0
III,0_to_90,2236.0,1975,64,786596.046392035,518.3720243303939,398.2764791858405,9.18,12290.563224875546,30.859375,5560964.641189447,0.14144956804181158,2.0
III,0_to_90,2015.0,530,3,505421.5710475563,114.23307176593052,953.6256057501063,0.0,168473.8570158521,176.66666666666666,5560964.641189447,0.09088739160539791,3.0
III,0_to_90,2254.0,132,4,221095.48045793478,40.08275950523383,1674.9657610449606,307.26,55273.870114483696,33.0,5560964.641189447,0.03975847622196788,4.0
III,0_to_90,2228.0,263,17,105247.60659930193,113.10491569224986,400.18101368555864,92.99,6191.035682311878,15.470588235294118,5560964.641189447,0.018926142025745787,5.0
III,0_to_90,2281.0,716,21,84021.9371923189,144.27730536282516,117.3490742909482,0.0,4001.044628205662,34.095238095238095,5560964.641189447,0.015109237805609797,6.0
III,0_to_90,2283.0,467,18,67059.0616042293,111.08891010219683,143.595420994067,4.2106664735529,3725.503422457183,25.944444444444443,5560964.641189447,0.012058890126279581,7.0
III,0_to_90,2278.0,160,9,65753.9105522548,32.18725361667185,410.9619409515925,0.0,7305.990061361645,17.77777777777778,5560964.641189447,0.011824191447869116,8.0
III,0_to_90,8094.0,153,9,42934.53574273178,29.26080829039232,280.61788067144954,0.0,4770.503971414642,17.0,5560964.641189447,0.007720699287443845,9.0
III,0_to_90,2266.0,434,7,38037.56,88.0,87.64414746543778,8.08,5433.937142857142,62.0,5560964.641189447,0.006840101035395913,10.0
III,post_90,2244.0,12239,101,8961065.266641164,3328.4178876009423,732.1729934341993,0.0,88723.41848159568,121.17821782178218,18792260.26566388,0.47684872069456696,1.0
III,post_90,2236.0,6819,85,2617893.1847908734,1919.1961319141085,383.9115977109361,5.23185061355262,30798.743350480865,80.2235294117647,18792260.26566388,0.1393069885038861,2.0
III,post_90,2015.0,793,5,1101005.8739099794,260.4612352109534,1388.405893959621,73.8978267422342,220201.17478199588,158.6,18792260.26566388,0.0585882623135905,3.0
III,post_90,2254.0,647,11,1082374.504703237,169.27634145050297,1672.9126811487433,58.2309230771135,98397.68224574882,58.81818181818182,18792260.26566388,0.05759682387333089,4.0
III,post_90,2283.0,2364,32,430541.19554499356,615.0301103319467,182.12402518823754,7.4558829755596605,13454.412360781049,73.875,18792260.26566388,0.022910559424916717,5.0
III,post_90,7996.0,208,1,267698.86,71.0,1287.0137499999998,122.21,267698.86,208.0,18792260.26566388,0.014245165627528249,6.0
III,post_90,2281.0,2239,33,263316.88577508,548.1932052739245,117.60468324032158,5.99067267646002,7979.2995689418185,67.84848484848484,18792260.26566388,0.014011985894863176,7.0
III,post_90,2278.0,870,15,207125.47274311743,277.89148062569984,238.07525602657176,19.915,13808.364849541162,58.0,18792260.26566388,0.01102184994327505,8.0
III,post_90,8094.0,1217,31,176534.74812978922,205.14133592687756,145.0573115281752,0.0,5694.66929450933,39.25806451612903,18792260.26566388,0.009394013579747148,9.0
III,post_90,2228.0,1169,19,155815.7005230078,377.02198481210695,133.28973526347974,11.86,8200.826343316201,61.526315789473685,18792260.26566388,0.008291482680649392,10.0
IV,pre_stage,2244.0,4655,54,4015115.1751775825,1055.8529706429904,862.5381686740242,0.0,74353.98472551079,86.20370370370371,8775181.83277912,0.4575535016470407,1.0
IV,pre_stage,2236.0,1249,48,1132370.9109025851,377.6145050183619,906.6220263431426,6.41,23591.060643803856,26.020833333333332,8775181.83277912,0.12904244407479823,2.0
IV,pre_stage,7689.0,458,1,495693.75,92.0,1082.3007641921397,1.0,495693.75,458.0,8775181.83277912,0.056488145709798085,3.0
IV,pre_stage,2254.0,697,16,360793.17122027284,275.0033638500561,517.6372614351117,46.11,22549.573201267052,43.5625,8775181.83277912,0.04111517893253829,4.0
IV,pre_stage,2283.0,1080,24,286838.5241060547,331.08148527867667,265.5912260241247,3.78,11951.605171085612,45.0,8775181.83277912,0.032687473555771576,5.0
IV,pre_stage,7889.0,157,1,280170.83,31.0,1784.5275796178346,99.95,280170.83,157.0,8775181.83277912,0.03192763812066436,6.0
IV,pre_stage,2223.0,493,13,162863.72537924995,150.5908134929689,330.3523841364096,0.0,12527.97887532692,37.92307692307692,8775181.83277912,0.018559584118346482,7.0
IV,pre_stage,2281.0,617,14,151030.3783453741,127.06818255236617,244.78181255328056,0.0,10787.884167526721,44.07142857142857,8775181.83277912,0.017211082485061445,8.0
IV,pre_stage,2269.0,342,1,115935.55,103.0,338.99283625730993,0.0,115935.55,342.0,8775181.83277912,0.01321175472021905,9.0
