final_stage_simple,stage_time_window,DRUG_NM,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
II,post_90,ORENCIA,33,1,146372.58,924.0,4435.532727272727,4372.4,146372.58,33.0,8265593.542247825,0.01770865930581363,8.0
II,post_90,TRULICITY,124,6,125858.21561217702,3922.5243453660123,1014.9856097756211,891.7600389699139,20976.36926869617,20.666666666666668,8265593.542247825,0.015226760784797788,9.0
II,post_90,ENBREL SURECLICK,18,2,123630.25298999094,504.3302537524537,6868.34738833283,6789.37503324661,61815.12649499547,9.0,8265593.542247825,0.014957214186504716,10.0
III,pre_stage,IBRANCE,8,2,94310.1,224.0,11788.7625,11936.45,47155.05,4.0,441654.36790583783,0.21353824812643363,1.0
III,pre_stage,RINVOQ,4,1,58949.76,360.0,14737.44,14469.75,58949.76,4.0,441654.36790583783,0.13347487149174597,2.0
III,pre_stage,XARELTO,33,2,16555.48,1221.0,501.6812121212121,416.03,8277.74,16.5,441654.36790583783,0.03748514948125608,3.0
III,pre_stage,OZEMPIC,14,1,16181.882776916493,504.0437602602557,1155.8487697797495,943.362021315609,16181.882776916493,14.0,441654.36790583783,0.03663924542090462,4.0
III,pre_stage,XIIDRA,22,3,14624.72,780.0,664.76,611.03,4874.906666666667,7.333333333333333,441654.36790583783,0.03311349567161541,5.0
III,pre_stage,JANUVIA,18,2,11476.872065379128,720.4438208344773,637.6040036321738,522.078572240881,5738.436032689564,9.0,441654.36790583783,0.02598609432936942,6.0
III,pre_stage,OLMESARTAN MEDOXOMIL,42,4,9266.47,1830.0,220.63023809523807,210.45,2316.6175,10.5,441654.36790583783,0.020981271042191166,7.0
III,pre_stage,LINZESS,14,1,5698.58,420.0,407.0414285714286,417.75,5698.58,14.0,441654.36790583783,0.012902804577752882,8.0
III,pre_stage,TRULICITY,6,1,5556.24,226.0,926.04,736.49,5556.24,6.0,441654.36790583783,0.01258051635795122,9.0
III,pre_stage,ELETRIPTAN HBR,27,1,5516.8099999999995,645.0,204.32629629629628,286.64,5516.8099999999995,27.0,441654.36790583783,0.012491238400196693,10.0
III,0_to_90,IBRANCE,7,4,88772.96788197101,196.0015869176844,12681.852554567287,11936.45,22193.241970492752,1.75,204227.5278613181,0.4346767980379844,1.0
III,0_to_90,VERZENIO,4,2,58822.4988507736,112.1015100016826,14705.6247126934,14705.6247133836,29411.2494253868,2.0,204227.5278613181,0.28802433965081026,2.0
III,0_to_90,PERCOCET,3,1,4671.450000000001,90.0,1557.1500000000003,1557.15,4671.450000000001,3.0,204227.5278613181,0.022873752862406366,3.0
III,0_to_90,ELIQUIS,8,4,4201.725457965926,229.0373488300023,525.2156822457407,559.7232559267716,1050.4313644914814,2.0,204227.5278613181,0.020573746849734828,4.0
III,0_to_90,ENOXAPARIN SODIUM,6,3,3832.690018321588,112.00000039360002,638.7816697202646,613.275,1277.5633394405293,2.0,204227.5278613181,0.018766764982457204,5.0
III,0_to_90,OZEMPIC,1,1,2375.99,90.0,2375.99,2375.99,2375.99,1.0,204227.5278613181,0.011634033985924903,6.0
III,0_to_90,TRELEGY ELLIPTA,4,2,2333.59,120.0,583.3975,578.24,1166.795,2.0,204227.5278613181,0.011426422404645852,7.0
III,0_to_90,JANUVIA,1,1,1584.55403882791,90.0127268274359,1584.55403882791,1584.55403882791,1584.55403882791,1.0,204227.5278613181,0.0077587681514898945,8.0
