final_stage_simple,stage_time_window,DRUG_NM,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
I,post_90,JAKAFI,9,1,146117.324258887,270.0167238259001,16235.258250987445,16349.4274728611,146117.324258887,9.0,586874.2255255459,0.24897553496754596,2.0
I,post_90,VERZENIO,4,3,56447.2929876178,112.0458083658776,14111.82324690445,13646.505000000001,18815.764329205933,1.3333333333333333,586874.2255255459,0.09618294778079452,3.0
I,post_90,EXEMESTANE,287,46,47976.404909769204,13448.954847959993,167.16517390163486,111.73,1042.9653241254175,6.239130434782608,586874.2255255459,0.08174904063439885,4.0
I,post_90,ANASTROZOLE,2212,213,45138.08604252868,112918.62258426941,20.40600634834027,15.7134225655637,211.9158969132802,10.384976525821596,586874.2255255459,0.07691270817372756,5.0
I,post_90,LUPRON DEPOT,22,1,33544.866710663286,620.1048791027584,1524.766668666513,1540.31,33544.866710663286,22.0,586874.2255255459,0.05715852775886325,6.0
I,post_90,KISQALI,3,1,27030.34272160407,84.0091627383094,9010.114240534689,6757.66245146736,27030.34272160407,3.0,586874.2255255459,0.046058152745417295,7.0
I,post_90,TAMOXIFEN CITRATE,739,61,23262.883580185156,30046.08742595356,31.478868173457588,25.7,381.3587472161501,12.114754098360656,586874.2255255459,0.039638618580247316,8.0
I,post_90,LETROZOLE,488,61,11624.391370275169,25256.88679924004,23.82047411941633,21.15,190.56379295533063,8.0,586874.2255255459,0.019807295779373384,9.0
I,post_90,VEOZAH,17,2,9067.497855131864,510.4472199653837,533.3822267724626,526.836985108077,4533.748927565932,8.5,586874.2255255459,0.015450495967874409,10.0
II,pre_stage,CAPECITABINE,3,2,3125.6099999999997,77.0,1041.87,782.06,1562.8049999999998,1.5,5224.855511210067,0.5982194135883605,1.0
II,pre_stage,TAMOXIFEN CITRATE,21,3,523.66,750.0,24.936190476190475,21.41,174.5533333333333,7.0,5224.855511210067,0.10022478112102305,2.0
II,pre_stage,ANASTROZOLE,22,6,307.99471510221707,1080.026921244057,13.999759777373503,9.29,51.33245251703618,3.6666666666666665,5224.855511210067,0.058947987067088495,3.0
II,pre_stage,EXEMESTANE,1,1,297.55,30.0,297.55,297.55,297.55,1.0,5224.855511210067,0.056948943250506846,4.0
II,pre_stage,PROCHLORPERAZINE MALEA,17,11,257.2466384688868,211.09924710007854,15.132155204052163,7.42,23.386058042626072,1.5454545454545454,5224.855511210067,0.049235167923200415,5.0
II,pre_stage,DEXAMETHASONE,21,11,148.2263473827299,111.01315257960923,7.0583974944157095,5.53,13.475122489339082,1.9090909090909092,5224.855511210067,0.028369463435822546,6.0
II,pre_stage,LETROZOLE,16,3,135.48,480.0,8.4675,8.14,45.16,5.333333333333333,5224.855511210067,0.025929903651751525,7.0
II,pre_stage,POTASSIUM CHLORIDE,2,1,86.94,60.0,43.47,43.47,86.94,2.0,5224.855511210067,0.016639694593174475,8.0
II,pre_stage,KLOR-CON SPRINKLE,2,1,82.94,60.0,41.47,41.47,82.94,2.0,5224.855511210067,0.015874123183320574,9.0
II,pre_stage,FAMOTIDINE,5,2,73.43,390.0,14.686000000000002,13.61,36.715,2.5,5224.855511210067,0.014053977156392936,10.0
II,0_to_90,NEUPOGEN,2,1,10287.68,42.0,5143.84,5143.84,10287.68,2.0,25236.608983323444,0.4076490627880387,1.0
II,0_to_90,GONAL-F RFF REDI-JECT,1,1,5691.86,18.0,5691.86,5691.86,5691.86,1.0,25236.608983323444,0.225539810192456,2.0
II,0_to_90,CAPECITABINE,4,2,3754.7599999999998,98.0,938.6899999999999,938.6899999999999,1877.3799999999999,2.0,25236.608983323444,0.1487822711237146,3.0
