final_stage_simple,stage_time_window,HCPCS,n_claims,n_patients,total_cost,total_util,mean_claim_cost,median_claim_cost,cost_per_patient,claims_per_patient,window_total_cost,cost_share_within_window,rank_within_window
II,post_90,J9354,218,8,2641810.8468537633,111.339784863898,12118.398380063134,11475.83452104235,330226.3558567204,27.25,23127978.896873787,0.11422575481556053,2.0
II,post_90,J9271,96,19,2004649.4767614994,91.44244976239673,20881.765382932284,23884.39,105507.86719797365,5.052631578947368,23127978.896873787,0.08667637953580407,3.0
II,post_90,J9355,211,26,1927751.0635637394,118.0004302119027,9136.260964757059,9146.47,74144.27167552843,8.115384615384615,23127978.896873787,0.08335147105414878,4.0
II,post_90,J1950,346,24,1581565.7724502503,343.2511406492861,4570.999342341764,3417.525,65898.57385209376,14.416666666666666,23127978.896873787,0.06838322447034188,5.0
II,post_90,96413,1321,152,655427.1134947167,527.0195076423004,496.1598133949407,543.76,4312.020483517873,8.69078947368421,23127978.896873787,0.028339143529022802,6.0
II,post_90,J2505,90,36,633945.78,68.0,7043.842000000001,7524.46,17609.605,2.5,23127978.896873787,0.027410340645273184,7.0
II,post_90,19357,29,17,494689.8820867686,24.01910877540549,17058.27179609547,2797.27,29099.404828633444,1.7058823529411764,23127978.896873787,0.02138923959990451,8.0
II,post_90,77412,1099,55,412062.9741456558,974.6983931176883,374.9435615520071,368.7,7492.05407537556,19.98181818181818,23127978.896873787,0.017816644332953557,9.0
II,post_90,G0463,2536,288,396983.34773946996,2487.0910111476474,156.53917497613168,118.28619892351901,1378.4144018731595,8.805555555555555,23127978.896873787,0.01716463637006908,10.0
III,pre_stage,J9271,30,6,849273.4420991556,28.05379490756411,28309.11473663852,21689.28,141545.5736831926,5.0,4905221.929211504,0.17313659898680123,1.0
III,pre_stage,J9306,49,7,496828.2068169895,28.00504012499703,10139.351159530399,10298.05,70975.45811671279,7.0,4905221.929211504,0.10128557157797197,2.0
III,pre_stage,J9355,54,5,374767.2,29.0,6940.133333333333,5941.505,74953.44,10.8,4905221.929211504,0.07640168078190143,3.0
III,pre_stage,J2505,50,17,357956.14,37.0,7159.1228,8640.41,21056.243529411764,2.9411764705882355,4905221.929211504,0.07297450455162997,4.0
III,pre_stage,36561,76,42,225518.34253012232,70.04592647840174,2967.3466122384516,2002.80744750752,5369.484345955293,1.8095238095238095,4905221.929211504,0.045975155820599856,5.0
III,pre_stage,96413,360,36,173142.11478213558,182.1633044646391,480.9503188392655,516.8,4809.503188392655,10.0,4905221.929211504,0.035297508916169985,6.0
III,pre_stage,J9264,10,1,171238.8483623788,7.01996307439211,17123.88483623788,19890.0788362463,171238.8483623788,10.0,4905221.929211504,0.034909500698147786,7.0
III,pre_stage,J9354,9,1,164371.855099212,4.07437433686516,18263.539455468,17747.7954018307,164371.855099212,9.0,4905221.929211504,0.03350956541239188,8.0
III,pre_stage,J2506,43,11,111953.52195725826,42.07406192274707,2603.5702780757733,2302.7581436695,10177.592905205296,3.909090909090909,4905221.929211504,0.022823334718161135,9.0
III,pre_stage,78815,77,32,99131.4556242991,74.04982430665902,1287.421501614274,178.082156322747,3097.8579882593467,2.40625,4905221.929211504,0.02020937218639445,10.0
III,0_to_90,J9271,59,19,1580228.0857658219,53.28807846831115,26783.526877386812,25711.2509522577,83169.89925083274,3.1052631578947367,5096178.918905496,0.31008096672265323,1.0
III,0_to_90,J2505,72,26,435801.39,61.0,6052.797083333334,5330.85,16761.591923076925,2.769230769230769,5096178.918905496,0.08551532372289568,2.0
